district,snapp,tapsi,time,date,day,bothOK
اباذر پردیس زندگی,142500,137000,20:40:57,2023-06-01,Thursday,True
کاشانی سر جنت,134500,120000,20:41:01,2023-06-01,Thursday,True
فردوس شقایق,116500,119000,20:41:05,2023-06-01,Thursday,True
کاشانی مینیاتور,123000,136000,20:41:09,2023-06-01,Thursday,True
هایپراستار,104000,111000,20:41:13,2023-06-01,Thursday,True
خونه من,123500,108000,20:54:10,2023-06-01,Thursday,True
باغ فیض هجرت,127500,116000,20:54:17,2023-06-01,Thursday,True
باغ فیض باهنر,124500,105000,20:54:20,2023-06-01,Thursday,True
ستاری کورش,132500,115000,20:54:25,2023-06-01,Thursday,True
میدون سازمان برنامه,101000,114000,20:54:30,2023-06-01,Thursday,True
شقایق شمالی,116500,97000,20:54:35,2023-06-01,Thursday,True
کاشانی اباذر,150500,128000,20:54:40,2023-06-01,Thursday,True
اباذر پردیس زندگی,129000,112000,20:54:44,2023-06-01,Thursday,True
کاشانی سر جنت,122000,108000,20:54:47,2023-06-01,Thursday,True
فردوس شقایق,118500,117000,20:54:51,2023-06-01,Thursday,True
کاشانی مینیاتور,123500,103000,20:54:58,2023-06-01,Thursday,True
هایپراستار,99000,101000,20:55:02,2023-06-01,Thursday,True
خونه من,114000,105000,21:04:59,2023-06-01,Thursday,True
باغ فیض هجرت,118000,109000,21:05:04,2023-06-01,Thursday,True
باغ فیض باهنر,119500,112000,21:05:07,2023-06-01,Thursday,True
ستاری کورش,122000,106000,21:05:12,2023-06-01,Thursday,True
میدون سازمان برنامه,105000,92000,21:05:17,2023-06-01,Thursday,True
شقایق شمالی,112000,94000,21:05:21,2023-06-01,Thursday,True
کاشانی اباذر,134000,103000,21:05:24,2023-06-01,Thursday,True
اباذر پردیس زندگی,119000,119000,21:05:29,2023-06-01,Thursday,True
کاشانی سر جنت,125500,95000,21:05:33,2023-06-01,Thursday,True
فردوس شقایق,118500,85000,21:05:38,2023-06-01,Thursday,True
کاشانی مینیاتور,118000,100000,21:05:41,2023-06-01,Thursday,True
هایپراستار,103000,98000,21:05:46,2023-06-01,Thursday,True
خونه من,123500,114000,21:20:06,2023-06-01,Thursday,True
باغ فیض هجرت,120000,128000,21:20:10,2023-06-01,Thursday,True
باغ فیض باهنر,120500,121000,21:20:14,2023-06-01,Thursday,True
ستاری کورش,133000,122000,21:20:18,2023-06-01,Thursday,True
میدون سازمان برنامه,102500,110000,21:20:22,2023-06-01,Thursday,True
شقایق شمالی,118000,122000,21:20:25,2023-06-01,Thursday,True
کاشانی اباذر,132000,122000,21:20:29,2023-06-01,Thursday,True
اباذر پردیس زندگی,125000,128000,21:20:33,2023-06-01,Thursday,True
کاشانی سر جنت,125000,113000,21:20:37,2023-06-01,Thursday,True
فردوس شقایق,104500,112000,21:20:40,2023-06-01,Thursday,True
کاشانی مینیاتور,125500,128000,21:20:43,2023-06-01,Thursday,True
هایپراستار,96500,105000,21:20:47,2023-06-01,Thursday,True
خونه من,129500,113000,21:45:42,2023-06-01,Thursday,True
باغ فیض هجرت,122500,117000,21:45:46,2023-06-01,Thursday,True
باغ فیض باهنر,114000,130000,21:45:50,2023-06-01,Thursday,True
ستاری کورش,140500,131000,21:45:55,2023-06-01,Thursday,True
میدون سازمان برنامه,102500,101000,21:45:59,2023-06-01,Thursday,True
شقایق شمالی,105000,102000,21:46:04,2023-06-01,Thursday,True
کاشانی اباذر,124000,121000,21:46:08,2023-06-01,Thursday,True
اباذر پردیس زندگی,118000,127000,21:46:12,2023-06-01,Thursday,True
کاشانی سر جنت,105000,113000,21:46:35,2023-06-01,Thursday,True
فردوس شقایق,103500,102000,21:46:39,2023-06-01,Thursday,True
کاشانی مینیاتور,111500,107000,21:46:43,2023-06-01,Thursday,True
هایپراستار,100000,106000,21:46:48,2023-06-01,Thursday,True
خونه من,129500,93000,22:05:48,2023-06-01,Thursday,True
باغ فیض هجرت,116000,96000,22:05:53,2023-06-01,Thursday,True
باغ فیض باهنر,105500,128000,22:05:57,2023-06-01,Thursday,True
ستاری کورش,139500,131000,22:06:01,2023-06-01,Thursday,True
میدون سازمان برنامه,98500,99000,22:06:05,2023-06-01,Thursday,True
شقایق شمالی,103500,110000,22:06:10,2023-06-01,Thursday,True
کاشانی اباذر,111000,128000,22:06:14,2023-06-01,Thursday,True
اباذر پردیس زندگی,110000,132000,22:06:18,2023-06-01,Thursday,True
کاشانی سر جنت,114000,111000,22:06:22,2023-06-01,Thursday,True
فردوس شقایق,116000,118000,22:06:26,2023-06-01,Thursday,True
کاشانی مینیاتور,109500,115000,22:06:30,2023-06-01,Thursday,True
هایپراستار,110500,96000,22:06:33,2023-06-01,Thursday,True
خونه من,141500,111000,22:20:05,2023-06-01,Thursday,True
باغ فیض هجرت,127500,133000,22:20:10,2023-06-01,Thursday,True
باغ فیض باهنر,116500,137000,22:20:14,2023-06-01,Thursday,True
ستاری کورش,153500,121000,22:20:28,2023-06-01,Thursday,True
میدون سازمان برنامه,100500,107000,22:20:32,2023-06-01,Thursday,True
شقایق شمالی,114000,119000,22:20:36,2023-06-01,Thursday,True
کاشانی اباذر,115000,137000,22:20:40,2023-06-01,Thursday,True
اباذر پردیس زندگی,121000,141000,22:20:45,2023-06-01,Thursday,True
کاشانی سر جنت,123000,110000,22:20:49,2023-06-01,Thursday,True
فردوس شقایق,121500,127000,22:20:53,2023-06-01,Thursday,True
کاشانی مینیاتور,120000,123000,22:20:57,2023-06-01,Thursday,True
هایپراستار,106000,105000,22:21:01,2023-06-01,Thursday,True
خونه من,129500,109000,22:39:38,2023-06-01,Thursday,True
باغ فیض هجرت,133000,132000,22:39:42,2023-06-01,Thursday,True
باغ فیض باهنر,125500,127000,22:39:46,2023-06-01,Thursday,True
ستاری کورش,142000,121000,22:39:50,2023-06-01,Thursday,True
میدون سازمان برنامه,103000,117000,22:39:54,2023-06-01,Thursday,True
شقایق شمالی,104000,119000,22:39:58,2023-06-01,Thursday,True
کاشانی اباذر,125500,128000,22:40:17,2023-06-01,Thursday,True
اباذر پردیس زندگی,130500,131000,22:40:21,2023-06-01,Thursday,True
کاشانی سر جنت,106500,118000,22:40:25,2023-06-01,Thursday,True
فردوس شقایق,118500,128000,22:40:29,2023-06-01,Thursday,True
کاشانی مینیاتور,110000,124000,22:40:33,2023-06-01,Thursday,True
هایپراستار,101000,105000,22:40:37,2023-06-01,Thursday,True
خونه من,127000,119000,22:49:51,2023-06-01,Thursday,True
باغ فیض هجرت,132000,113000,22:49:56,2023-06-01,Thursday,True
باغ فیض باهنر,130000,128000,22:50:00,2023-06-01,Thursday,True
ستاری کورش,139500,131000,22:50:05,2023-06-01,Thursday,True
میدون سازمان برنامه,110500,117000,22:50:09,2023-06-01,Thursday,True
شقایق شمالی,111500,119000,22:50:13,2023-06-01,Thursday,True
کاشانی اباذر,133500,127000,22:50:18,2023-06-01,Thursday,True
اباذر پردیس زندگی,135500,131000,22:50:22,2023-06-01,Thursday,True
کاشانی سر جنت,106500,118000,22:50:26,2023-06-01,Thursday,True
فردوس شقایق,126500,118000,22:50:30,2023-06-01,Thursday,True
کاشانی مینیاتور,118000,124000,22:50:34,2023-06-01,Thursday,True
هایپراستار,105000,114000,22:50:38,2023-06-01,Thursday,True
خونه من,124000,118000,23:04:59,2023-06-01,Thursday,True
باغ فیض هجرت,143500,122000,23:05:04,2023-06-01,Thursday,True
باغ فیض باهنر,145500,127000,23:05:07,2023-06-01,Thursday,True
ستاری کورش,135500,131000,23:05:11,2023-06-01,Thursday,True
میدون سازمان برنامه,124500,116000,23:05:15,2023-06-01,Thursday,True
شقایق شمالی,116000,118000,23:05:18,2023-06-01,Thursday,True
کاشانی اباذر,134500,127000,23:05:23,2023-06-01,Thursday,True
اباذر پردیس زندگی,151000,131000,23:05:26,2023-06-01,Thursday,True
کاشانی سر جنت,110500,117000,23:05:30,2023-06-01,Thursday,True
فردوس شقایق,128500,118000,23:05:34,2023-06-01,Thursday,True
کاشانی مینیاتور,122000,124000,23:05:37,2023-06-01,Thursday,True
هایپراستار,115500,113000,23:05:41,2023-06-01,Thursday,True
خونه من,144000,118000,23:20:02,2023-06-01,Thursday,True
باغ فیض هجرت,154000,112000,23:20:07,2023-06-01,Thursday,True
باغ فیض باهنر,157500,126000,23:20:11,2023-06-01,Thursday,True
ستاری کورش,156500,131000,23:20:15,2023-06-01,Thursday,True
میدون سازمان برنامه,128000,115000,23:20:19,2023-06-01,Thursday,True
شقایق شمالی,124500,118000,23:20:23,2023-06-01,Thursday,True
کاشانی اباذر,146500,127000,23:20:27,2023-06-01,Thursday,True
اباذر پردیس زندگی,162000,130000,23:20:31,2023-06-01,Thursday,True
کاشانی سر جنت,129500,117000,23:20:34,2023-06-01,Thursday,True
فردوس شقایق,128500,117000,23:20:39,2023-06-01,Thursday,True
کاشانی مینیاتور,131500,123000,23:20:44,2023-06-01,Thursday,True
هایپراستار,106000,113000,23:20:48,2023-06-01,Thursday,True
خونه من,101500,87000,17:40:36,2023-06-02,Friday,True
باغ فیض هجرت,104500,90000,17:40:40,2023-06-02,Friday,True
باغ فیض باهنر,105500,91000,17:40:44,2023-06-02,Friday,True
ستاری کورش,109500,95000,17:40:48,2023-06-02,Friday,True
میدون سازمان برنامه,98500,93000,17:40:53,2023-06-02,Friday,True
شقایق شمالی,100500,95000,17:40:56,2023-06-02,Friday,True
کاشانی اباذر,106000,82000,17:41:01,2023-06-02,Friday,True
اباذر پردیس زندگی,108000,95000,17:41:04,2023-06-02,Friday,True
کاشانی سر جنت,100500,86000,17:41:08,2023-06-02,Friday,True
فردوس شقایق,102500,86000,17:41:12,2023-06-02,Friday,True
کاشانی مینیاتور,105000,100000,17:41:16,2023-06-02,Friday,True
هایپراستار,95500,80000,17:41:20,2023-06-02,Friday,True
خونه من,109500,77000,17:54:20,2023-06-02,Friday,True
باغ فیض هجرت,108000,90000,17:54:24,2023-06-02,Friday,True
باغ فیض باهنر,109000,92000,17:54:29,2023-06-02,Friday,True
ستاری کورش,117000,84000,17:54:33,2023-06-02,Friday,True
میدون سازمان برنامه,102000,93000,17:54:37,2023-06-02,Friday,True
شقایق شمالی,104000,76000,17:54:42,2023-06-02,Friday,True
کاشانی اباذر,108500,93000,17:54:46,2023-06-02,Friday,True
اباذر پردیس زندگی,111500,95000,17:54:50,2023-06-02,Friday,True
کاشانی سر جنت,104000,86000,17:54:53,2023-06-02,Friday,True
فردوس شقایق,105000,85000,17:54:58,2023-06-02,Friday,True
کاشانی مینیاتور,107500,80000,17:55:02,2023-06-02,Friday,True
هایپراستار,98000,80000,17:55:06,2023-06-02,Friday,True
خونه من,104500,87000,18:04:54,2023-06-02,Friday,True
باغ فیض هجرت,111500,90000,18:04:58,2023-06-02,Friday,True
باغ فیض باهنر,108500,92000,18:05:03,2023-06-02,Friday,True
ستاری کورش,112500,95000,18:05:07,2023-06-02,Friday,True
میدون سازمان برنامه,100000,102000,18:05:11,2023-06-02,Friday,True
شقایق شمالی,102000,95000,18:05:15,2023-06-02,Friday,True
کاشانی اباذر,112000,104000,18:05:20,2023-06-02,Friday,True
اباذر پردیس زندگی,111500,95000,18:05:24,2023-06-02,Friday,True
کاشانی سر جنت,105500,96000,18:05:27,2023-06-02,Friday,True
فردوس شقایق,105000,85000,18:05:31,2023-06-02,Friday,True
کاشانی مینیاتور,107500,102000,18:05:34,2023-06-02,Friday,True
هایپراستار,97500,80000,18:05:38,2023-06-02,Friday,True
خونه من,106000,87000,18:20:01,2023-06-02,Friday,True
باغ فیض هجرت,111000,100000,18:20:10,2023-06-02,Friday,True
باغ فیض باهنر,110000,92000,18:20:13,2023-06-02,Friday,True
ستاری کورش,111000,95000,18:20:17,2023-06-02,Friday,True
میدون سازمان برنامه,102000,84000,18:20:21,2023-06-02,Friday,True
شقایق شمالی,104000,86000,18:20:25,2023-06-02,Friday,True
کاشانی اباذر,111000,104000,18:20:28,2023-06-02,Friday,True
اباذر پردیس زندگی,113500,96000,18:20:31,2023-06-02,Friday,True
کاشانی سر جنت,104000,87000,18:20:35,2023-06-02,Friday,True
فردوس شقایق,112000,76000,18:20:38,2023-06-02,Friday,True
کاشانی مینیاتور,108500,92000,18:20:42,2023-06-02,Friday,True
هایپراستار,100000,80000,18:20:45,2023-06-02,Friday,True
خونه من,102500,125000,18:42:08,2023-06-02,Friday,True
باغ فیض هجرت,105500,112000,18:42:13,2023-06-02,Friday,True
باغ فیض باهنر,107500,102000,18:42:16,2023-06-02,Friday,True
ستاری کورش,110500,138000,18:42:21,2023-06-02,Friday,True
میدون سازمان برنامه,99500,102000,18:42:24,2023-06-02,Friday,True
شقایق شمالی,101500,104000,18:42:28,2023-06-02,Friday,True
کاشانی اباذر,108500,104000,18:42:32,2023-06-02,Friday,True
اباذر پردیس زندگی,110500,106000,18:42:36,2023-06-02,Friday,True
کاشانی سر جنت,101500,105000,18:42:39,2023-06-02,Friday,True
فردوس شقایق,104500,95000,18:42:43,2023-06-02,Friday,True
کاشانی مینیاتور,106000,112000,18:42:47,2023-06-02,Friday,True
هایپراستار,98000,89000,18:42:51,2023-06-02,Friday,True
خونه من,108500,87000,18:54:07,2023-06-02,Friday,True
باغ فیض هجرت,107000,92000,18:54:12,2023-06-02,Friday,True
باغ فیض باهنر,108500,92000,18:54:16,2023-06-02,Friday,True
ستاری کورش,116000,96000,18:54:20,2023-06-02,Friday,True
میدون سازمان برنامه,100000,93000,18:54:25,2023-06-02,Friday,True
شقایق شمالی,102000,86000,18:54:29,2023-06-02,Friday,True
کاشانی اباذر,119000,104000,18:54:33,2023-06-02,Friday,True
اباذر پردیس زندگی,114500,96000,18:54:37,2023-06-02,Friday,True
کاشانی سر جنت,102000,96000,18:54:41,2023-06-02,Friday,True
فردوس شقایق,106000,86000,18:54:45,2023-06-02,Friday,True
کاشانی مینیاتور,107500,92000,18:54:49,2023-06-02,Friday,True
هایپراستار,98000,81000,18:54:53,2023-06-02,Friday,True
خونه من,108500,98000,19:05:17,2023-06-02,Friday,True
باغ فیض هجرت,114500,93000,19:05:20,2023-06-02,Friday,True
باغ فیض باهنر,117500,94000,19:05:24,2023-06-02,Friday,True
ستاری کورش,101500,111000,19:05:28,2023-06-02,Friday,True
میدون سازمان برنامه,105500,95000,19:05:32,2023-06-02,Friday,True
شقایق شمالی,107500,87000,19:05:36,2023-06-02,Friday,True
کاشانی اباذر,114500,106000,19:05:39,2023-06-02,Friday,True
اباذر پردیس زندگی,118500,100000,19:05:43,2023-06-02,Friday,True
کاشانی سر جنت,109500,108000,19:05:47,2023-06-02,Friday,True
فردوس شقایق,116000,97000,19:05:51,2023-06-02,Friday,True
کاشانی مینیاتور,113000,93000,19:05:54,2023-06-02,Friday,True
هایپراستار,102500,83000,19:05:58,2023-06-02,Friday,True
خونه من,110000,89000,19:20:00,2023-06-02,Friday,True
باغ فیض هجرت,110500,93000,19:20:04,2023-06-02,Friday,True
باغ فیض باهنر,112000,94000,19:20:07,2023-06-02,Friday,True
ستاری کورش,117000,100000,19:20:11,2023-06-02,Friday,True
میدون سازمان برنامه,103500,106000,19:20:15,2023-06-02,Friday,True
شقایق شمالی,105500,98000,19:20:18,2023-06-02,Friday,True
کاشانی اباذر,113000,106000,19:20:22,2023-06-02,Friday,True
اباذر پردیس زندگی,116000,100000,19:20:25,2023-06-02,Friday,True
کاشانی سر جنت,106000,99000,19:20:29,2023-06-02,Friday,True
فردوس شقایق,110500,89000,19:20:32,2023-06-02,Friday,True
کاشانی مینیاتور,112000,103000,19:20:37,2023-06-02,Friday,True
هایپراستار,105000,94000,19:20:40,2023-06-02,Friday,True
خونه من,109000,89000,19:44:58,2023-06-02,Friday,True
باغ فیض هجرت,109500,103000,19:45:02,2023-06-02,Friday,True
باغ فیض باهنر,112000,104000,19:45:06,2023-06-02,Friday,True
ستاری کورش,118000,98000,19:45:10,2023-06-02,Friday,True
میدون سازمان برنامه,103500,86000,19:45:13,2023-06-02,Friday,True
شقایق شمالی,105500,98000,19:45:17,2023-06-02,Friday,True
کاشانی اباذر,112000,106000,19:45:21,2023-06-02,Friday,True
اباذر پردیس زندگی,115000,109000,19:45:24,2023-06-02,Friday,True
کاشانی سر جنت,105500,99000,19:45:27,2023-06-02,Friday,True
فردوس شقایق,114000,88000,19:45:30,2023-06-02,Friday,True
کاشانی مینیاتور,111000,103000,19:45:34,2023-06-02,Friday,True
هایپراستار,107000,83000,19:45:37,2023-06-02,Friday,True
خونه من,130500,98000,20:01:53,2023-06-02,Friday,True
باغ فیض هجرت,132500,103000,20:01:58,2023-06-02,Friday,True
باغ فیض باهنر,128500,104000,20:02:01,2023-06-02,Friday,True
ستاری کورش,132000,107000,20:02:05,2023-06-02,Friday,True
میدون سازمان برنامه,104500,103000,20:02:08,2023-06-02,Friday,True
شقایق شمالی,112500,97000,20:02:12,2023-06-02,Friday,True
کاشانی اباذر,111000,104000,20:02:15,2023-06-02,Friday,True
اباذر پردیس زندگی,124000,107000,20:02:19,2023-06-02,Friday,True
کاشانی سر جنت,108500,98000,20:02:22,2023-06-02,Friday,True
فردوس شقایق,113000,97000,20:02:25,2023-06-02,Friday,True
کاشانی مینیاتور,109500,102000,20:02:29,2023-06-02,Friday,True
هایپراستار,123500,91000,20:02:33,2023-06-02,Friday,True
خونه من,115500,115000,20:20:04,2023-06-02,Friday,True
باغ فیض هجرت,114500,130000,20:20:08,2023-06-02,Friday,True
باغ فیض باهنر,115000,131000,20:20:12,2023-06-02,Friday,True
ستاری کورش,123000,125000,20:20:16,2023-06-02,Friday,True
میدون سازمان برنامه,101000,110000,20:20:20,2023-06-02,Friday,True
شقایق شمالی,104000,122000,20:20:25,2023-06-02,Friday,True
کاشانی اباذر,109500,112000,20:20:28,2023-06-02,Friday,True
اباذر پردیس زندگی,117000,138000,20:20:32,2023-06-02,Friday,True
کاشانی سر جنت,102000,133000,20:20:37,2023-06-02,Friday,True
فردوس شقایق,107500,114000,20:20:41,2023-06-02,Friday,True
کاشانی مینیاتور,107500,129000,20:20:44,2023-06-02,Friday,True
هایپراستار,129000,89000,20:20:48,2023-06-02,Friday,True
خونه من,127000,94000,20:40:41,2023-06-02,Friday,True
باغ فیض هجرت,123500,98000,20:40:45,2023-06-02,Friday,True
باغ فیض باهنر,115000,99000,20:40:49,2023-06-02,Friday,True
ستاری کورش,134500,102000,20:40:52,2023-06-02,Friday,True
میدون سازمان برنامه,107000,90000,20:40:56,2023-06-02,Friday,True
شقایق شمالی,109000,83000,20:41:00,2023-06-02,Friday,True
کاشانی اباذر,123500,101000,20:41:04,2023-06-02,Friday,True
اباذر پردیس زندگی,119000,103000,20:41:07,2023-06-02,Friday,True
کاشانی سر جنت,114000,93000,20:41:11,2023-06-02,Friday,True
فردوس شقایق,112500,93000,20:41:15,2023-06-02,Friday,True
کاشانی مینیاتور,116000,88000,20:41:19,2023-06-02,Friday,True
هایپراستار,123500,79000,20:41:23,2023-06-02,Friday,True
خونه من,123500,103000,20:54:13,2023-06-02,Friday,True
باغ فیض هجرت,123500,98000,20:54:17,2023-06-02,Friday,True
باغ فیض باهنر,106500,99000,20:54:21,2023-06-02,Friday,True
ستاری کورش,131000,113000,20:54:26,2023-06-02,Friday,True
میدون سازمان برنامه,114500,90000,20:54:30,2023-06-02,Friday,True
شقایق شمالی,102500,93000,20:54:34,2023-06-02,Friday,True
کاشانی اباذر,108500,131000,20:54:38,2023-06-02,Friday,True
اباذر پردیس زندگی,110500,105000,20:54:42,2023-06-02,Friday,True
کاشانی سر جنت,115000,94000,20:54:45,2023-06-02,Friday,True
فردوس شقایق,111000,94000,20:54:49,2023-06-02,Friday,True
کاشانی مینیاتور,109000,98000,20:54:52,2023-06-02,Friday,True
هایپراستار,145500,97000,20:54:56,2023-06-02,Friday,True
خونه من,131500,93000,21:04:47,2023-06-02,Friday,True
باغ فیض هجرت,128500,86000,21:04:51,2023-06-02,Friday,True
باغ فیض باهنر,111500,97000,21:04:55,2023-06-02,Friday,True
ستاری کورش,139500,101000,21:04:59,2023-06-02,Friday,True
میدون سازمان برنامه,109000,89000,21:05:03,2023-06-02,Friday,True
شقایق شمالی,100500,92000,21:05:07,2023-06-02,Friday,True
کاشانی اباذر,107500,99000,21:05:10,2023-06-02,Friday,True
اباذر پردیس زندگی,115500,102000,21:05:14,2023-06-02,Friday,True
کاشانی سر جنت,117000,92000,21:05:18,2023-06-02,Friday,True
فردوس شقایق,107000,92000,21:05:21,2023-06-02,Friday,True
کاشانی مینیاتور,107500,97000,21:05:25,2023-06-02,Friday,True
هایپراستار,139500,87000,21:05:29,2023-06-02,Friday,True
خونه من,110500,110000,21:20:06,2023-06-02,Friday,True
باغ فیض هجرت,114000,95000,21:20:10,2023-06-02,Friday,True
باغ فیض باهنر,105000,97000,21:20:14,2023-06-02,Friday,True
ستاری کورش,117500,121000,21:20:18,2023-06-02,Friday,True
میدون سازمان برنامه,97500,80000,21:20:22,2023-06-02,Friday,True
شقایق شمالی,99500,91000,21:20:25,2023-06-02,Friday,True
کاشانی اباذر,106000,109000,21:20:29,2023-06-02,Friday,True
اباذر پردیس زندگی,109000,101000,21:20:33,2023-06-02,Friday,True
کاشانی سر جنت,101000,92000,21:20:37,2023-06-02,Friday,True
فردوس شقایق,109500,83000,21:20:40,2023-06-02,Friday,True
کاشانی مینیاتور,104000,96000,21:20:44,2023-06-02,Friday,True
هایپراستار,130500,86000,21:20:47,2023-06-02,Friday,True
خونه من,100500,102000,21:44:29,2023-06-02,Friday,True
باغ فیض هجرت,107000,86000,21:44:34,2023-06-02,Friday,True
باغ فیض باهنر,105000,97000,21:44:37,2023-06-02,Friday,True
ستاری کورش,108000,111000,21:44:41,2023-06-02,Friday,True
میدون سازمان برنامه,109500,89000,21:44:44,2023-06-02,Friday,True
شقایق شمالی,98500,82000,21:44:48,2023-06-02,Friday,True
کاشانی اباذر,106000,88000,21:44:51,2023-06-02,Friday,True
اباذر پردیس زندگی,109000,100000,21:44:54,2023-06-02,Friday,True
کاشانی سر جنت,99000,83000,21:44:57,2023-06-02,Friday,True
فردوس شقایق,102000,82000,21:45:00,2023-06-02,Friday,True
کاشانی مینیاتور,104000,86000,21:45:04,2023-06-02,Friday,True
هایپراستار,138500,77000,21:45:07,2023-06-02,Friday,True
خونه من,120500,92000,21:58:13,2023-06-02,Friday,True
باغ فیض هجرت,119500,95000,21:58:17,2023-06-02,Friday,True
باغ فیض باهنر,115500,96000,21:58:20,2023-06-02,Friday,True
ستاری کورش,130500,100000,21:58:24,2023-06-02,Friday,True
میدون سازمان برنامه,97500,89000,21:58:28,2023-06-02,Friday,True
شقایق شمالی,101000,100000,21:58:31,2023-06-02,Friday,True
کاشانی اباذر,105000,97000,21:58:35,2023-06-02,Friday,True
اباذر پردیس زندگی,120000,100000,21:58:38,2023-06-02,Friday,True
کاشانی سر جنت,99000,92000,21:58:41,2023-06-02,Friday,True
فردوس شقایق,104000,91000,21:58:45,2023-06-02,Friday,True
کاشانی مینیاتور,105500,104000,21:58:48,2023-06-02,Friday,True
هایپراستار,136000,86000,21:58:51,2023-06-02,Friday,True
خونه من,110500,110000,22:07:51,2023-06-02,Friday,True
باغ فیض هجرت,109500,105000,22:07:55,2023-06-02,Friday,True
باغ فیض باهنر,108500,96000,22:07:58,2023-06-02,Friday,True
ستاری کورش,119500,130000,22:08:02,2023-06-02,Friday,True
میدون سازمان برنامه,96500,80000,22:08:05,2023-06-02,Friday,True
شقایق شمالی,98500,91000,22:08:09,2023-06-02,Friday,True
کاشانی اباذر,105000,97000,22:08:12,2023-06-02,Friday,True
اباذر پردیس زندگی,113000,101000,22:08:15,2023-06-02,Friday,True
کاشانی سر جنت,99000,92000,22:08:18,2023-06-02,Friday,True
فردوس شقایق,102000,82000,22:08:21,2023-06-02,Friday,True
کاشانی مینیاتور,104000,95000,22:08:25,2023-06-02,Friday,True
هایپراستار,112000,77000,22:08:27,2023-06-02,Friday,True
خونه من,102000,92000,22:19:53,2023-06-02,Friday,True
باغ فیض هجرت,105000,95000,22:19:57,2023-06-02,Friday,True
باغ فیض باهنر,104000,97000,22:20:00,2023-06-02,Friday,True
ستاری کورش,112000,101000,22:20:04,2023-06-02,Friday,True
میدون سازمان برنامه,96500,89000,22:20:07,2023-06-02,Friday,True
شقایق شمالی,98500,91000,22:20:11,2023-06-02,Friday,True
کاشانی اباذر,105000,97000,22:20:14,2023-06-02,Friday,True
اباذر پردیس زندگی,108000,102000,22:20:17,2023-06-02,Friday,True
کاشانی سر جنت,99000,92000,22:20:20,2023-06-02,Friday,True
فردوس شقایق,104000,91000,22:20:24,2023-06-02,Friday,True
کاشانی مینیاتور,104000,95000,22:20:27,2023-06-02,Friday,True
هایپراستار,103500,85000,22:20:30,2023-06-02,Friday,True
خونه من,120500,111000,22:39:25,2023-06-02,Friday,True
باغ فیض هجرت,120500,124000,22:39:30,2023-06-02,Friday,True
باغ فیض باهنر,136000,126000,22:39:34,2023-06-02,Friday,True
ستاری کورش,131000,121000,22:39:37,2023-06-02,Friday,True
میدون سازمان برنامه,117000,116000,22:39:41,2023-06-02,Friday,True
شقایق شمالی,113000,127000,22:39:45,2023-06-02,Friday,True
کاشانی اباذر,128000,117000,22:39:49,2023-06-02,Friday,True
اباذر پردیس زندگی,141000,132000,22:39:53,2023-06-02,Friday,True
کاشانی سر جنت,106500,129000,22:39:57,2023-06-02,Friday,True
فردوس شقایق,124000,109000,22:40:01,2023-06-02,Friday,True
کاشانی مینیاتور,119000,133000,22:40:05,2023-06-02,Friday,True
هایپراستار,108500,86000,22:40:10,2023-06-02,Friday,True
خونه من,129500,110000,22:49:54,2023-06-02,Friday,True
باغ فیض هجرت,126500,105000,22:49:58,2023-06-02,Friday,True
باغ فیض باهنر,143000,136000,22:50:02,2023-06-02,Friday,True
ستاری کورش,139500,121000,22:50:05,2023-06-02,Friday,True
میدون سازمان برنامه,125500,125000,22:50:09,2023-06-02,Friday,True
شقایق شمالی,128000,127000,22:50:12,2023-06-02,Friday,True
کاشانی اباذر,140500,136000,22:50:16,2023-06-02,Friday,True
اباذر پردیس زندگی,148500,142000,22:50:19,2023-06-02,Friday,True
کاشانی سر جنت,112000,101000,22:50:23,2023-06-02,Friday,True
فردوس شقایق,135000,127000,22:50:26,2023-06-02,Friday,True
کاشانی مینیاتور,135000,133000,22:50:29,2023-06-02,Friday,True
هایپراستار,116500,94000,22:50:32,2023-06-02,Friday,True
خونه من,160000,102000,23:04:51,2023-06-02,Friday,True
باغ فیض هجرت,162000,124000,23:04:55,2023-06-02,Friday,True
باغ فیض باهنر,169000,117000,23:04:58,2023-06-02,Friday,True
ستاری کورش,173000,111000,23:05:02,2023-06-02,Friday,True
میدون سازمان برنامه,148000,116000,23:05:05,2023-06-02,Friday,True
شقایق شمالی,153500,118000,23:05:09,2023-06-02,Friday,True
کاشانی اباذر,175500,117000,23:05:12,2023-06-02,Friday,True
اباذر پردیس زندگی,174000,120000,23:05:16,2023-06-02,Friday,True
کاشانی سر جنت,131000,119000,23:05:19,2023-06-02,Friday,True
فردوس شقایق,163000,119000,23:05:23,2023-06-02,Friday,True
کاشانی مینیاتور,163000,124000,23:05:26,2023-06-02,Friday,True
هایپراستار,142000,112000,23:05:30,2023-06-02,Friday,True
خونه من,136500,102000,23:19:57,2023-06-02,Friday,True
باغ فیض هجرت,145500,96000,23:20:02,2023-06-02,Friday,True
باغ فیض باهنر,141000,136000,23:20:06,2023-06-02,Friday,True
ستاری کورش,147000,111000,23:20:13,2023-06-02,Friday,True
میدون سازمان برنامه,149500,116000,23:20:16,2023-06-02,Friday,True
شقایق شمالی,136500,100000,23:20:20,2023-06-02,Friday,True
کاشانی اباذر,156500,118000,23:20:24,2023-06-02,Friday,True
اباذر پردیس زندگی,146500,112000,23:20:29,2023-06-02,Friday,True
